Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.99052924,82.17794132,82.47399139,82.78448743,83.23671623,83.82549032,84.10238558,84.33978637,84.60524427,84.9220137,85.21927802,85.44861598,85.7699572,86.10755726,86.43820786,86.74836072,86.74070237,86.58297726,86.40978441,86.24901241,85.86902963,85.82485992,85.59037471,85.65804701,85.63494029,85.75930409,85.89388648,86.29678951,86.57993054,86.8896018,86.68444742,87.16495551,87.46287741
Afghanistan,AFG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.61602776,19.7204715,19.80939672,19.85099463,19.89366136,20.01772488,19.81692263,19.61928388,19.47122075,19.3713173,19.29616099,19.47922073,19.72284559,19.9812073,20.22477624,20.45281002,20.1966746,19.94128189,19.73782819,19.64290253,19.68410737,20.16944171,20.77898737,22.2178958,23.74906451,25.37573253,27.1029295,28.93696494,29.49303088,30.05327526,24.68623011,,
Africa Western and Central,AFW,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.40706988,83.38815504,83.34845962,83.42134232,83.5640955,83.76210457,83.77539512,83.854967,83.97935132,84.16886133,84.36904099,84.35083856,84.36180314,84.30073518,84.23131534,84.15923124,83.94893128,83.91380037,83.7765566,83.65955633,83.56240503,83.55107346,83.20981092,82.90418465,82.28520228,81.75504367,81.08004054,80.44571143,79.80016446,79.37416486,78.9167644,79.19535989,79.51511479
Angola,AGO,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1130093,94.98961676,94.93295091,94.92962353,94.98074842,95.08739674,95.06793085,95.11513075,95.21948514,95.36665405,95.54468585,95.56423578,95.63270727,95.73054188,95.83713388,95.9266725,95.85049097,95.79771268,95.759686,95.73633107,95.73633107,93.69548623,93.63586331,93.62508442,93.65835961,93.73810716,93.80487744,93.92309525,94.09549158,94.32013986,94.32021637,94.68370526,94.83188755
Albania,ALB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.77859351,72.72994495,73.19780395,72.53697383,71.98613135,71.20148581,70.6879458,71.29354724,70.78733454,70.13667046,69.79591837,69.41779712,69.23207491,69.87624335,70.59223761,71.39005438,72.2705254,73.24019944,74.3047376,71.29838421,73.25349927,77.71655409,74.81686946,71.26069074,69.4344526,73.32865169,76.66106943,74.51931743,76.11951375,77.83050148,77.37529043,78.17447105,78.54480976
Andorra,AND,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.38867244,26.50801562,27.02868919,26.80759579,27.36036816,27.33434291,27.43902961,27.41000671,27.47895671,28.03339323,28.39413167,28.66426412,28.04480811,28.35072628,28.61493483,28.94003393,29.43300865,30.42136082,30.04009795,30.52424562,30.50492248,30.65941337,30.85012825,31.26183155,31.60663942,32.25507134,32.81189302,32.27745191,31.20283954,30.85344108,31.32799834,30.38328663,30.87309536
United Arab Emirates,ARE,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3970628,33.13852863,33.61065078,34.1483764,34.25828642,34.35624629,34.97487106,35.67753382,36.35846214,37.0196509,37.66458067,38.28804135,38.90168586,39.51544331,40.12711679,40.88087367,42.34845975,43.87790574,45.25272413,46.48022816,47.63306959,48.79284617,50.03428824,51.35069681,52.72212591,54.11007628,55.43069118,57.51307759,57.26088132,61.80640949,67.73351694,57.36500657,59.25057789
Argentina,ARG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.476306,62.0033268,63.40214456,64.90203918,65.97248097,65.34838667,66.32213494,67.75509662,68.38911828,67.60077287,67.31993859,66.32739269,63.93740016,65.42248683,66.96336412,65.79730346,66.73778565,66.08598111,65.43278787,66.47228732,65.04596165,64.81171096,65.59113368,65.39401092,65.85257487,66.45313789,67.06777512,67.69591141,69.73659948,70.43879908,70.51812764,70.94803381,72.59379865
