Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.80393279,63.96753063,64.16132013,64.27048957,64.47473075,64.81380847,64.95655499,65.02611607,65.11864987,65.2381669,65.36017276,65.46839718,65.66176614,65.86302352,66.04954136,66.2409308,66.13325962,65.90674659,65.68091792,65.27321305,64.49102601,64.59656108,64.34777725,64.39201105,64.29928398,64.49983835,64.56402455,64.76998462,64.64337564,64.76649622,63.75631807,64.43444378,64.98295331
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.602,15.676,15.735,15.747,15.752,15.811,15.652,15.501,15.392,15.32,15.265,15.388,15.556,15.736,15.908,16.071,15.876,15.69,15.539,15.457,15.466,15.784,16.186,17.118,18.088,19.096,20.141,21.227,21.583,21.944,16.463,,
Africa Western and Central,AFW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.90080255,59.86739211,59.78759907,59.73860978,59.69000986,59.65859323,59.59836662,59.55416831,59.52323277,59.51385681,59.50527844,59.45326934,59.40442885,59.3030412,59.22077937,59.09819346,58.94665467,58.84709005,58.61615772,58.37817168,58.13315651,57.9799039,56.54679135,55.09931938,54.83241929,54.77043709,54.81335685,54.55718545,54.54658156,54.61543272,53.7959818,54.09194066,54.6209418
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.495,75.474,75.466,75.47,75.485,75.507,75.502,75.51,75.53,75.559,75.594,75.598,75.612,75.63,75.65,75.666,75.65,75.639,75.631,75.625,75.625,74.873,74.86,74.857,74.863,74.878,74.891,74.914,74.948,74.993,74.28,74.464,74.884
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.289,54.434,55.197,54.196,53.359,52.138,51.335,52.348,51.553,50.497,49.932,49.279,48.945,48.332,47.726,47.131,46.548,45.978,45.421,45.847,46.735,52.468,48.821,43.66,43.818,46.989,49.763,49.609,51.284,52.815,49.62,51.653,52.27
Andorra,AND,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.14952403,19.24430482,19.61465577,19.57637296,19.95564055,19.82309515,19.76769239,19.64175324,19.55162307,20.04862801,20.13674414,20.04903856,19.39919082,19.62983639,19.83203294,20.04945113,20.3315086,20.90530673,20.53483234,20.74314723,20.86021087,20.89139255,20.93093814,21.23494946,21.22661793,21.48431221,21.7278806,21.01170599,20.18968293,19.80601185,19.4200907,19.20386763,19.66839904
United Arab Emirates,ARE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.766,29.486,30.017,30.697,30.976,31.258,31.803,32.174,32.579,33.043,33.584,34.223,34.959,35.784,36.681,37.471,38.355,39.129,39.993,41.069,42.382,43.815,45.236,46.648,48.052,49.442,50.805,52.774,52.952,56.797,60.992,52.789,54.853
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.871,46.221,47.421,48.696,49.577,48.91,49.729,50.983,51.51,50.731,50.426,49.461,47.228,48.569,49.954,49.094,49.735,48.899,48.063,48.788,47.693,47.949,48.056,47.65,47.429,47.512,47.598,47.685,49.165,50.02,46.506,50.283,50.828
