Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.72894256,79.68608843,79.59382041,79.40097891,79.20220002,79.02962112,78.89003609,78.72441687,78.54774484,78.35530354,78.18017783,78.06092083,77.9581178,77.85198658,77.74397539,77.66429832,77.51692752,77.35990248,77.21584936,76.86200773,76.30677017,76.38079377,76.26492584,76.21633348,76.10203564,76.18252906,76.13497782,76.01569936,75.63182278,75.50306561,74.50259499,74.87847837,75.24360155
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.537,79.491,79.432,79.326,79.181,78.985,78.983,79.009,79.05,79.086,79.109,78.997,78.873,78.754,78.656,78.576,78.607,78.681,78.727,78.69,78.571,78.257,77.896,77.046,76.163,75.253,74.313,73.356,73.18,73.017,66.689,,
Africa Western and Central,AFW,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.45240235,72.43031227,72.36953605,72.24349271,72.05633152,71.84130161,71.75505304,71.634238,71.49359404,71.31451339,71.1297241,71.07584573,71.00503604,70.93401384,70.89266007,70.80864716,70.80468556,70.69245225,70.50423472,70.29366578,70.06206268,69.872115,68.39032426,66.85109104,66.99469298,67.31629051,67.89505678,68.12589674,68.68042754,69.15493273,68.56125232,68.67451215,69.05148669
Angola,AGO,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.374,79.455,79.494,79.501,79.474,79.408,79.419,79.388,79.322,79.23,79.119,79.107,79.065,79.003,78.936,78.879,78.925,78.957,78.98,78.993,78.993,79.911,79.948,79.954,79.932,79.88,79.837,79.761,79.651,79.509,78.753,78.645,78.965
Albania,ALB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.464,74.844,75.408,74.715,74.124,73.226,72.622,73.426,72.828,71.998,71.54,70.989,70.697,69.168,67.608,66.019,64.408,62.777,61.128,64.303,63.799,67.512,65.254,61.268,63.107,64.08,64.913,66.572,67.373,67.859,64.129,66.074,66.548
Andorra,AND,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.66470048,74.61473726,74.60374391,75.07635487,75.0091137,74.6217194,74.24353135,73.91723114,73.48320742,73.74931175,73.13086827,72.21186532,71.63559601,71.76054092,71.89749424,71.98781817,72.02342775,71.87913731,71.99612567,71.88141909,72.63734547,72.53554954,72.44457531,72.59680795,72.02844952,71.63491309,71.37407941,70.64298808,70.76697292,71.01318433,69.51048774,69.87968756,70.27919987
United Arab Emirates,ARE,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.792,88.978,89.308,89.893,90.419,90.982,90.931,90.18,89.605,89.258,89.166,89.383,89.865,90.557,91.412,91.659,90.57,89.177,88.377,88.358,88.976,89.798,90.41,90.842,91.142,91.373,91.655,91.76,92.475,91.895,90.047,92.023,92.578
Argentina,ARG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.196,74.546,74.794,75.03,75.148,74.845,74.981,75.246,75.319,75.045,74.905,74.571,73.866,74.239,74.599,74.614,74.523,73.993,73.454,73.396,73.322,73.982,73.266,72.866,72.023,71.497,70.97,70.44,70.501,71.012,65.949,70.873,70.017
